seat_no,paper_1_IA,paper_2_IA,paper_3_IA,paper_4_IA,paper_5_IA,paper_6_IA,paper_7_IA,paper_8_IA,paper_9_IA,paper_10_IA,paper_1_TOT,paper_2_TOT,paper_3_TOT,paper_4_TOT,paper_5_TOT,paper_6_TOT,paper_7_TOT,paper_8_TOT,paper_9_TOT,paper_10_TOT,paper_1_EX,paper_2_EX,paper_3_EX,paper_4_EX,paper_5_EX,paper_6_EX,paper_7_EX,paper_8_EX,paper_9_EX,paper_10_EX
5201621,14.0,15.0,21.0,21.0,40.0,17.0,14.0,14.0,22.0,21.0,53.0,48.0,43.0,41.0,63.0,77.0,72.0,64.0,22.0,21.0,39.0,33.0,39.0,33.0,22.0,60.0,58.0,50.0,20.0,23.0
5201622,19.0,11.0,22.0,20.0,42.0,16.0,12.0,8.0,21.0,20.0,87.0,51.0,45.0,40.0,63.0,70.0,56.0,62.0,21.0,20.0,68.0,40.0,68.0,40.0,23.0,54.0,44.0,54.0,20.0,21.0
5201623,10.0,11.0,21.0,18.0,46.0,11.0,15.0,10.0,17.0,20.0,52.0,53.0,43.0,36.0,67.0,45.0,60.0,46.0,17.0,20.0,42.0,42.0,42.0,42.0,22.0,34.0,45.0,36.0,18.0,21.0
5201624,17.0,12.0,22.0,19.0,34.0,14.0,12.0,8.0,19.0,20.0,70.0,44.0,44.0,38.0,55.0,52.0,60.0,52.0,19.0,20.0,53.0,32.0,53.0,32.0,22.0,38.0,48.0,44.0,19.0,21.0
5201625,20.0,16.0,23.0,21.0,42.0,17.0,19.0,15.0,22.0,23.0,71.0,82.0,46.0,43.0,61.0,72.0,72.0,77.0,22.0,23.0,51.0,66.0,51.0,66.0,23.0,55.0,53.0,62.0,22.0,19.0
5201626,17.0,16.0,22.0,22.0,41.0,18.0,17.0,11.0,22.0,22.0,64.0,58.0,44.0,44.0,61.0,58.0,64.0,62.0,22.0,22.0,47.0,42.0,47.0,42.0,22.0,40.0,47.0,51.0,22.0,20.0
5201627,15.0,11.0,22.0,21.0,43.0,16.0,14.0,11.0,21.0,20.0,60.0,50.0,44.0,42.0,65.0,49.0,48.0,43.0,21.0,20.0,45.0,39.0,45.0,39.0,22.0,33.0,34.0,32.0,21.0,22.0
5201628,8.0,10.0,20.0,21.0,42.0,17.0,13.0,14.0,22.0,20.0,63.0,51.0,42.0,42.0,62.0,63.0,45.0,62.0,22.0,20.0,55.0,41.0,55.0,41.0,22.0,46.0,32.0,48.0,21.0,20.0
5201629,9.0,14.0,20.0,21.0,40.0,16.0,18.0,12.0,21.0,21.0,57.0,48.0,42.0,42.0,62.0,73.0,57.0,68.0,21.0,21.0,48.0,34.0,48.0,34.0,22.0,57.0,39.0,56.0,21.0,22.0
5201630,19.0,12.0,22.0,21.0,42.0,17.0,17.0,10.0,22.0,21.0,76.0,59.0,44.0,42.0,64.0,73.0,63.0,59.0,22.0,21.0,57.0,47.0,57.0,47.0,22.0,56.0,46.0,49.0,21.0,22.0
5201631,8.0,12.0,21.0,20.0,42.0,16.0,17.0,10.0,21.0,20.0,51.0,50.0,43.0,40.0,63.0,52.0,58.0,51.0,21.0,20.0,43.0,38.0,43.0,38.0,22.0,36.0,41.0,41.0,20.0,21.0
5201632,15.0,10.0,21.0,20.0,44.0,14.0,15.0,11.0,19.0,20.0,60.0,58.0,43.0,40.0,67.0,55.0,47.0,62.0,19.0,20.0,45.0,48.0,45.0,48.0,22.0,41.0,32.0,51.0,20.0,23.0
5201633,,,,,,,,,,,,,,,,,,,,,60.0,53.0,,,,57.0,60.0,62.0,,
5201634,13.0,10.0,22.0,20.0,38.0,16.0,14.0,10.0,21.0,20.0,60.0,34.0,44.0,40.0,58.0,50.0,50.0,69.0,21.0,20.0,47.0,24.0,47.0,24.0,22.0,34.0,36.0,59.0,20.0,20.0
5201635,19.0,13.0,21.0,22.0,44.0,16.0,15.0,14.0,21.0,23.0,67.0,55.0,42.0,43.0,66.0,68.0,56.0,60.0,21.0,23.0,48.0,42.0,48.0,42.0,21.0,52.0,41.0,46.0,21.0,22.0
5201636,13.0,12.0,22.0,20.0,42.0,14.0,13.0,7.0,19.0,20.0,56.0,44.0,44.0,40.0,61.0,46.0,45.0,47.0,19.0,20.0,43.0,32.0,43.0,32.0,22.0,32.0,32.0,40.0,20.0,19.0
5201637,16.0,13.0,22.0,23.0,42.0,18.0,19.0,13.0,23.0,23.0,64.0,55.0,44.0,46.0,63.0,63.0,62.0,60.0,23.0,23.0,48.0,42.0,48.0,42.0,22.0,45.0,43.0,47.0,23.0,21.0
5201638,17.0,15.0,22.0,22.0,39.0,16.0,15.0,11.0,21.0,20.0,70.0,68.0,44.0,44.0,59.0,64.0,81.0,67.0,21.0,20.0,53.0,53.0,53.0,53.0,22.0,48.0,66.0,56.0,22.0,20.0
5201639,17.0,15.0,22.0,21.0,43.0,17.0,17.0,12.0,22.0,22.0,73.0,70.0,44.0,42.0,64.0,60.0,75.0,69.0,22.0,22.0,56.0,55.0,56.0,55.0,22.0,43.0,58.0,57.0,21.0,21.0
5201640,15.0,14.0,22.0,22.0,41.0,19.0,16.0,14.0,24.0,20.0,63.0,63.0,44.0,44.0,62.0,65.0,56.0,66.0,24.0,20.0,48.0,49.0,48.0,49.0,22.0,46.0,40.0,52.0,22.0,21.0
5201641,13.0,14.0,22.0,17.0,42.0,16.0,18.0,12.0,21.0,23.0,65.0,49.0,44.0,34.0,61.0,55.0,65.0,56.0,21.0,23.0,52.0,35.0,52.0,35.0,22.0,39.0,47.0,44.0,17.0,19.0
5201642,13.0,13.0,20.0,22.0,42.0,18.0,17.0,8.0,23.0,21.0,64.0,48.0,42.0,44.0,63.0,67.0,58.0,57.0,23.0,21.0,51.0,35.0,51.0,35.0,22.0,49.0,41.0,49.0,22.0,21.0
5201643,9.0,13.0,23.0,20.0,42.0,16.0,17.0,14.0,21.0,22.0,56.0,80.0,47.0,40.0,63.0,76.0,65.0,68.0,21.0,22.0,47.0,67.0,47.0,67.0,24.0,60.0,48.0,54.0,20.0,21.0
5201644,10.0,13.0,21.0,23.0,42.0,17.0,11.0,9.0,22.0,20.0,43.0,50.0,43.0,46.0,63.0,65.0,63.0,54.0,22.0,20.0,33.0,37.0,33.0,37.0,22.0,48.0,52.0,45.0,23.0,21.0
5201645,13.0,9.0,22.0,19.0,42.0,12.0,11.0,10.0,18.0,20.0,52.0,49.0,44.0,38.0,63.0,32.0,54.0,48.0,18.0,20.0,39.0,40.0,39.0,40.0,22.0,20.0,43.0,38.0,19.0,21.0
5201646,16.0,16.0,24.0,24.0,41.0,19.0,17.0,15.0,24.0,21.0,65.0,61.0,48.0,48.0,62.0,77.0,65.0,74.0,24.0,21.0,49.0,45.0,49.0,45.0,24.0,58.0,48.0,59.0,24.0,21.0
5201647,13.0,11.0,21.0,23.0,44.0,17.0,13.0,9.0,22.0,20.0,45.0,44.0,43.0,46.0,68.0,53.0,57.0,56.0,22.0,20.0,32.0,33.0,32.0,33.0,22.0,36.0,44.0,47.0,23.0,24.0
5201648,17.0,15.0,22.0,23.0,45.0,18.0,18.0,14.0,23.0,22.0,72.0,77.0,44.0,46.0,68.0,77.0,63.0,67.0,23.0,22.0,55.0,62.0,55.0,62.0,22.0,59.0,45.0,53.0,23.0,23.0
5201649,12.0,17.0,22.0,22.0,45.0,18.0,12.0,9.0,23.0,20.0,54.0,52.0,44.0,44.0,68.0,61.0,58.0,60.0,23.0,20.0,42.0,35.0,42.0,35.0,22.0,43.0,46.0,51.0,22.0,23.0
5201650,14.0,9.0,22.0,20.0,34.0,14.0,11.0,9.0,19.0,20.0,50.0,57.0,44.0,40.0,55.0,55.0,52.0,48.0,19.0,20.0,36.0,48.0,36.0,48.0,22.0,41.0,41.0,39.0,20.0,21.0
5201651,13.0,12.0,22.0,23.0,46.0,18.0,15.0,11.0,23.0,20.0,72.0,58.0,44.0,46.0,67.0,66.0,54.0,70.0,23.0,20.0,59.0,46.0,59.0,46.0,22.0,48.0,39.0,59.0,23.0,21.0
5201652,17.0,16.0,23.0,22.0,45.0,17.0,18.0,10.0,22.0,23.0,71.0,55.0,46.0,44.0,68.0,56.0,50.0,60.0,22.0,23.0,54.0,39.0,54.0,39.0,23.0,39.0,32.0,50.0,22.0,23.0
5201653,10.0,12.0,21.0,23.0,37.0,18.0,14.0,11.0,23.0,20.0,64.0,64.0,43.0,46.0,60.0,69.0,75.0,72.0,23.0,20.0,54.0,52.0,54.0,52.0,22.0,51.0,61.0,61.0,23.0,23.0
5201654,8.0,6.0,20.0,19.0,34.0,11.0,10.0,8.0,19.0,20.0,51.0,38.0,40.0,38.0,56.0,47.0,42.0,43.0,19.0,20.0,43.0,32.0,43.0,32.0,20.0,36.0,32.0,35.0,19.0,22.0
5201655,11.0,12.0,21.0,22.0,42.0,16.0,15.0,10.0,21.0,21.0,48.0,44.0,43.0,44.0,61.0,62.0,67.0,61.0,21.0,21.0,37.0,32.0,37.0,32.0,22.0,46.0,52.0,51.0,22.0,19.0
5201656,11.0,13.0,21.0,21.0,47.0,16.0,14.0,10.0,21.0,20.0,51.0,65.0,43.0,42.0,71.0,62.0,46.0,68.0,21.0,20.0,40.0,52.0,40.0,52.0,22.0,46.0,32.0,58.0,21.0,24.0
5201657,15.0,15.0,22.0,22.0,45.0,17.0,16.0,11.0,22.0,21.0,50.0,63.0,44.0,44.0,68.0,52.0,65.0,63.0,22.0,21.0,35.0,48.0,35.0,48.0,22.0,35.0,49.0,52.0,22.0,23.0
5201658,18.0,16.0,22.0,22.0,40.0,20.0,19.0,15.0,24.0,24.0,71.0,52.0,44.0,44.0,62.0,75.0,63.0,76.0,24.0,24.0,53.0,36.0,53.0,36.0,22.0,55.0,44.0,61.0,22.0,22.0
5201659,19.0,16.0,22.0,23.0,41.0,18.0,19.0,16.0,23.0,24.0,78.0,61.0,44.0,46.0,63.0,69.0,80.0,79.0,23.0,24.0,59.0,45.0,59.0,45.0,22.0,51.0,61.0,63.0,23.0,22.0
5201660,14.0,10.0,20.0,17.0,40.0,12.0,14.0,10.0,17.0,20.0,48.0,44.0,42.0,34.0,60.0,49.0,68.0,50.0,17.0,20.0,34.0,34.0,34.0,34.0,22.0,37.0,54.0,40.0,17.0,20.0
5201661,8.0,11.0,20.0,21.0,42.0,16.0,15.0,10.0,21.0,20.0,53.0,49.0,42.0,42.0,64.0,65.0,54.0,53.0,21.0,20.0,45.0,38.0,45.0,38.0,22.0,49.0,39.0,43.0,21.0,22.0
5201662,19.0,15.0,22.0,22.0,40.0,18.0,16.0,10.0,23.0,21.0,66.0,63.0,44.0,44.0,62.0,76.0,56.0,60.0,23.0,21.0,47.0,48.0,47.0,48.0,22.0,58.0,40.0,50.0,22.0,22.0
5201663,16.0,14.0,22.0,21.0,42.0,16.0,15.0,9.0,21.0,20.0,73.0,60.0,44.0,42.0,63.0,55.0,71.0,57.0,21.0,20.0,57.0,46.0,57.0,46.0,22.0,39.0,56.0,48.0,21.0,21.0
5201664,12.0,8.0,22.0,19.0,38.0,13.0,15.0,10.0,19.0,20.0,33.0,35.0,44.0,38.0,58.0,58.0,40.0,43.0,19.0,20.0,21.0,27.0,21.0,27.0,22.0,45.0,25.0,33.0,19.0,20.0
5201665,17.0,15.0,22.0,22.0,46.0,17.0,17.0,11.0,22.0,22.0,74.0,59.0,44.0,44.0,70.0,72.0,57.0,72.0,22.0,22.0,57.0,44.0,57.0,44.0,22.0,55.0,40.0,61.0,22.0,24.0
5201666,18.0,13.0,22.0,19.0,43.0,14.0,13.0,10.0,19.0,20.0,59.0,46.0,44.0,38.0,64.0,63.0,59.0,56.0,19.0,20.0,41.0,33.0,41.0,33.0,22.0,49.0,46.0,46.0,19.0,21.0
5201667,13.0,13.0,20.0,22.0,44.0,18.0,14.0,12.0,23.0,20.0,64.0,55.0,42.0,44.0,67.0,67.0,66.0,66.0,23.0,20.0,51.0,42.0,51.0,42.0,22.0,49.0,52.0,54.0,22.0,23.0
5201668,13.0,15.0,22.0,24.0,44.0,18.0,18.0,13.0,23.0,23.0,69.0,62.0,44.0,48.0,68.0,79.0,56.0,64.0,23.0,23.0,56.0,47.0,56.0,47.0,22.0,61.0,38.0,51.0,24.0,24.0
5201669,10.0,12.0,21.0,18.0,40.0,13.0,13.0,9.0,18.0,20.0,55.0,54.0,43.0,36.0,63.0,59.0,52.0,59.0,18.0,20.0,45.0,42.0,45.0,42.0,22.0,46.0,39.0,50.0,18.0,23.0
5201670,17.0,13.0,21.0,21.0,42.0,18.0,16.0,12.0,23.0,21.0,83.0,53.0,43.0,42.0,64.0,69.0,51.0,68.0,23.0,21.0,66.0,40.0,66.0,40.0,22.0,51.0,35.0,56.0,21.0,22.0
5201671,8.0,11.0,21.0,17.0,44.0,12.0,15.0,12.0,17.0,20.0,64.0,54.0,43.0,34.0,66.0,54.0,71.0,66.0,17.0,20.0,56.0,43.0,56.0,43.0,22.0,42.0,56.0,54.0,17.0,22.0
5201672,18.0,15.0,22.0,21.0,42.0,17.0,17.0,11.0,22.0,21.0,81.0,67.0,44.0,42.0,63.0,74.0,73.0,63.0,22.0,21.0,63.0,52.0,63.0,52.0,22.0,57.0,56.0,52.0,21.0,21.0
5201674,11.0,11.0,21.0,21.0,40.0,17.0,14.0,13.0,22.0,20.0,62.0,53.0,43.0,42.0,62.0,50.0,52.0,67.0,22.0,20.0,51.0,42.0,51.0,42.0,22.0,33.0,38.0,54.0,21.0,22.0
5201675,12.0,14.0,21.0,21.0,42.0,16.0,14.0,14.0,21.0,20.0,58.0,64.0,43.0,42.0,62.0,59.0,58.0,78.0,21.0,20.0,46.0,50.0,46.0,50.0,22.0,43.0,44.0,64.0,21.0,20.0
5201676,14.0,15.0,22.0,21.0,41.0,16.0,17.0,13.0,21.0,22.0,55.0,47.0,44.0,42.0,59.0,51.0,,51.0,21.0,22.0,41.0,32.0,41.0,32.0,22.0,35.0,,38.0,21.0,18.0
5201677,16.0,12.0,22.0,20.0,45.0,15.0,11.0,10.0,20.0,20.0,55.0,38.0,44.0,40.0,69.0,66.0,55.0,49.0,20.0,20.0,39.0,26.0,39.0,26.0,22.0,51.0,44.0,39.0,20.0,24.0
5201678,10.0,14.0,22.0,21.0,42.0,17.0,15.0,9.0,22.0,20.0,70.0,59.0,44.0,42.0,63.0,70.0,57.0,61.0,22.0,20.0,60.0,45.0,60.0,45.0,22.0,53.0,42.0,52.0,21.0,21.0
5201679,10.0,15.0,20.0,22.0,42.0,16.0,15.0,11.0,21.0,20.0,53.0,51.0,42.0,44.0,63.0,66.0,83.0,62.0,21.0,20.0,43.0,36.0,43.0,36.0,22.0,50.0,68.0,51.0,22.0,21.0
5201680,18.0,14.0,22.0,21.0,39.0,15.0,13.0,8.0,20.0,20.0,72.0,62.0,44.0,41.0,59.0,74.0,53.0,62.0,20.0,20.0,54.0,48.0,54.0,48.0,22.0,59.0,40.0,54.0,20.0,20.0
5201681,17.0,12.0,22.0,20.0,43.0,16.0,14.0,12.0,21.0,20.0,68.0,57.0,44.0,40.0,64.0,75.0,57.0,61.0,21.0,20.0,51.0,45.0,51.0,45.0,22.0,59.0,43.0,49.0,20.0,21.0
5201682,8.0,15.0,20.0,19.0,40.0,14.0,15.0,9.0,18.0,20.0,61.0,56.0,42.0,38.0,61.0,57.0,47.0,46.0,18.0,20.0,53.0,41.0,53.0,41.0,22.0,43.0,32.0,37.0,19.0,21.0
5201683,19.0,16.0,22.0,21.0,42.0,18.0,18.0,13.0,23.0,23.0,87.0,68.0,44.0,42.0,63.0,83.0,61.0,66.0,23.0,23.0,68.0,52.0,68.0,52.0,22.0,65.0,43.0,53.0,21.0,21.0
5201684,14.0,13.0,22.0,21.0,45.0,16.0,17.0,11.0,21.0,21.0,67.0,57.0,44.0,40.0,67.0,58.0,69.0,60.0,21.0,21.0,53.0,44.0,53.0,44.0,22.0,42.0,52.0,49.0,19.0,22.0
5201685,11.0,10.0,21.0,16.0,34.0,14.0,16.0,11.0,16.0,21.0,57.0,45.0,43.0,33.0,53.0,57.0,68.0,58.0,16.0,21.0,46.0,35.0,46.0,35.0,22.0,43.0,52.0,47.0,17.0,19.0
5201686,12.0,9.0,22.0,18.0,42.0,13.0,11.0,8.0,18.0,20.0,49.0,42.0,44.0,36.0,64.0,61.0,43.0,55.0,18.0,20.0,37.0,33.0,37.0,33.0,22.0,48.0,32.0,47.0,18.0,22.0
5201687,17.0,14.0,22.0,23.0,42.0,18.0,18.0,12.0,23.0,22.0,87.0,62.0,44.0,46.0,64.0,69.0,64.0,71.0,23.0,22.0,70.0,48.0,70.0,48.0,22.0,51.0,46.0,59.0,23.0,22.0
5201688,11.0,11.0,20.0,19.0,43.0,14.0,14.0,9.0,19.0,20.0,53.0,48.0,42.0,38.0,65.0,58.0,59.0,49.0,19.0,20.0,42.0,37.0,42.0,37.0,22.0,44.0,45.0,40.0,19.0,22.0
5201689,10.0,10.0,20.0,18.0,40.0,13.0,11.0,14.0,18.0,20.0,50.0,56.0,42.0,36.0,61.0,51.0,55.0,59.0,18.0,20.0,40.0,46.0,40.0,46.0,22.0,38.0,44.0,45.0,18.0,21.0
5201690,11.0,12.0,24.0,22.0,42.0,17.0,14.0,13.0,22.0,20.0,50.0,67.0,48.0,44.0,65.0,61.0,68.0,71.0,22.0,20.0,39.0,55.0,39.0,55.0,24.0,44.0,54.0,58.0,22.0,23.0
5201691,17.0,13.0,23.0,20.0,43.0,15.0,14.0,9.0,20.0,20.0,57.0,49.0,45.0,40.0,64.0,65.0,53.0,51.0,20.0,20.0,40.0,36.0,40.0,36.0,22.0,50.0,39.0,42.0,20.0,21.0
5201692,9.0,13.0,22.0,22.0,41.0,17.0,17.0,12.0,22.0,21.0,68.0,63.0,44.0,44.0,62.0,65.0,73.0,53.0,22.0,21.0,59.0,50.0,59.0,50.0,22.0,48.0,56.0,41.0,22.0,21.0
5201693,19.0,9.0,22.0,20.0,39.0,16.0,12.0,10.0,20.0,20.0,51.0,41.0,44.0,40.0,57.0,58.0,36.0,49.0,20.0,20.0,32.0,32.0,32.0,32.0,22.0,42.0,24.0,39.0,20.0,18.0
5201694,11.0,14.0,20.0,22.0,44.0,18.0,12.0,8.0,23.0,20.0,39.0,49.0,42.0,44.0,66.0,53.0,32.0,55.0,23.0,20.0,28.0,35.0,28.0,35.0,22.0,35.0,20.0,47.0,22.0,22.0
5201695,18.0,14.0,22.0,21.0,40.0,16.0,17.0,7.0,21.0,21.0,63.0,57.0,44.0,42.0,60.0,64.0,68.0,46.0,21.0,21.0,45.0,43.0,45.0,43.0,22.0,48.0,51.0,39.0,21.0,20.0
5201696,11.0,16.0,20.0,23.0,41.0,18.0,18.0,13.0,23.0,22.0,58.0,43.0,42.0,46.0,59.0,71.0,66.0,64.0,23.0,22.0,47.0,27.0,47.0,27.0,22.0,53.0,48.0,51.0,23.0,18.0
5201697,9.0,14.0,22.0,20.0,46.0,9.0,15.0,13.0,20.0,20.0,59.0,50.0,44.0,40.0,70.0,45.0,63.0,70.0,20.0,20.0,50.0,36.0,50.0,36.0,22.0,36.0,48.0,57.0,20.0,24.0
5201698,18.0,17.0,22.0,24.0,42.0,19.0,20.0,15.0,24.0,24.0,74.0,67.0,44.0,48.0,63.0,62.0,69.0,72.0,24.0,24.0,56.0,50.0,56.0,50.0,22.0,43.0,49.0,57.0,24.0,21.0
5201699,11.0,10.0,22.0,18.0,42.0,13.0,13.0,7.0,18.0,20.0,44.0,45.0,44.0,36.0,63.0,27.0,40.0,40.0,18.0,20.0,33.0,35.0,33.0,35.0,22.0,14.0,27.0,33.0,18.0,21.0
5201700,8.0,12.0,20.0,18.0,45.0,16.0,10.0,6.0,21.0,20.0,58.0,44.0,41.0,36.0,68.0,58.0,45.0,56.0,21.0,20.0,50.0,32.0,50.0,32.0,21.0,42.0,35.0,50.0,18.0,23.0
5201701,14.0,12.0,22.0,22.0,40.0,17.0,14.0,11.0,22.0,20.0,72.0,56.0,44.0,44.0,62.0,69.0,76.0,72.0,22.0,20.0,58.0,44.0,58.0,44.0,22.0,52.0,62.0,61.0,22.0,22.0
5201702,11.0,18.0,20.0,22.0,42.0,17.0,17.0,16.0,22.0,21.0,69.0,63.0,42.0,44.0,62.0,74.0,71.0,73.0,22.0,21.0,58.0,45.0,58.0,45.0,22.0,57.0,54.0,57.0,22.0,20.0
5201703,11.0,10.0,22.0,20.0,44.0,15.0,15.0,10.0,20.0,20.0,57.0,55.0,44.0,41.0,66.0,50.0,47.0,45.0,20.0,20.0,46.0,45.0,46.0,45.0,22.0,35.0,32.0,35.0,21.0,22.0
5201704,13.0,15.0,20.0,22.0,40.0,17.0,18.0,12.0,22.0,22.0,72.0,55.0,41.0,42.0,62.0,51.0,54.0,61.0,22.0,22.0,59.0,40.0,59.0,40.0,21.0,34.0,36.0,49.0,20.0,22.0
5201705,8.0,9.0,21.0,18.0,42.0,11.0,9.0,6.0,18.0,18.0,53.0,51.0,43.0,36.0,62.0,46.0,43.0,51.0,18.0,18.0,45.0,42.0,45.0,42.0,22.0,35.0,34.0,45.0,18.0,20.0
5201706,9.0,13.0,20.0,18.0,43.0,14.0,13.0,9.0,19.0,20.0,48.0,55.0,42.0,36.0,64.0,54.0,63.0,54.0,19.0,20.0,39.0,42.0,39.0,42.0,22.0,40.0,50.0,45.0,18.0,21.0
5201707,11.0,11.0,21.0,23.0,44.0,19.0,15.0,11.0,24.0,20.0,57.0,51.0,43.0,46.0,67.0,59.0,50.0,56.0,24.0,20.0,46.0,40.0,46.0,40.0,22.0,40.0,35.0,45.0,23.0,23.0
5201708,16.0,8.0,22.0,19.0,45.0,14.0,15.0,11.0,19.0,20.0,61.0,52.0,44.0,38.0,69.0,68.0,51.0,67.0,19.0,20.0,45.0,44.0,45.0,44.0,22.0,54.0,36.0,56.0,19.0,24.0
5201709,15.0,14.0,22.0,22.0,39.0,18.0,16.0,13.0,22.0,21.0,66.0,65.0,44.0,44.0,59.0,70.0,75.0,70.0,22.0,21.0,51.0,51.0,51.0,51.0,22.0,52.0,59.0,57.0,22.0,20.0
5201710,13.0,11.0,22.0,17.0,41.0,12.0,11.0,8.0,17.0,20.0,51.0,43.0,44.0,34.0,62.0,44.0,15.0,43.0,17.0,20.0,38.0,32.0,38.0,32.0,22.0,32.0,4.0,35.0,17.0,21.0
5201711,12.0,9.0,22.0,16.0,35.0,11.0,12.0,6.0,16.0,20.0,36.0,31.0,44.0,32.0,55.0,48.0,44.0,45.0,16.0,20.0,24.0,22.0,24.0,22.0,22.0,37.0,32.0,39.0,16.0,20.0
5201712,14.0,13.0,24.0,21.0,45.0,16.0,16.0,13.0,21.0,24.0,55.0,57.0,48.0,42.0,68.0,48.0,52.0,54.0,21.0,24.0,41.0,44.0,41.0,44.0,24.0,32.0,36.0,41.0,21.0,23.0
5201713,16.0,12.0,21.0,20.0,43.0,15.0,14.0,10.0,20.0,20.0,70.0,61.0,43.0,40.0,65.0,62.0,60.0,59.0,20.0,20.0,54.0,49.0,54.0,49.0,22.0,47.0,46.0,49.0,20.0,22.0
5201714,11.0,14.0,21.0,22.0,37.0,17.0,17.0,11.0,22.0,22.0,43.0,56.0,43.0,44.0,60.0,68.0,71.0,59.0,22.0,22.0,32.0,42.0,32.0,42.0,22.0,51.0,54.0,48.0,22.0,23.0
5201715,9.0,15.0,21.0,20.0,40.0,15.0,16.0,11.0,20.0,21.0,74.0,62.0,43.0,40.0,61.0,65.0,66.0,57.0,20.0,21.0,65.0,47.0,65.0,47.0,22.0,50.0,50.0,46.0,20.0,21.0
5201716,17.0,12.0,22.0,22.0,40.0,17.0,16.0,11.0,22.0,21.0,57.0,49.0,44.0,44.0,60.0,58.0,72.0,57.0,22.0,21.0,40.0,37.0,40.0,37.0,22.0,41.0,56.0,46.0,22.0,20.0
5201717,10.0,9.0,21.0,19.0,39.0,14.0,14.0,9.0,19.0,20.0,47.0,49.0,43.0,38.0,60.0,57.0,55.0,45.0,19.0,20.0,37.0,40.0,37.0,40.0,22.0,43.0,41.0,36.0,19.0,21.0
5201718,11.0,15.0,21.0,19.0,43.0,14.0,16.0,11.0,19.0,21.0,47.0,47.0,43.0,38.0,65.0,50.0,55.0,53.0,19.0,21.0,36.0,32.0,36.0,32.0,22.0,36.0,39.0,42.0,19.0,22.0
5201719,12.0,12.0,20.0,20.0,42.0,15.0,16.0,13.0,20.0,21.0,57.0,55.0,42.0,40.0,64.0,71.0,59.0,62.0,20.0,21.0,45.0,43.0,45.0,43.0,22.0,56.0,43.0,49.0,20.0,22.0
5201720,13.0,11.0,23.0,21.0,40.0,16.0,13.0,8.0,21.0,20.0,56.0,55.0,45.0,42.0,61.0,68.0,67.0,58.0,21.0,20.0,43.0,44.0,43.0,44.0,22.0,52.0,54.0,50.0,21.0,21.0
5201721,20.0,15.0,24.0,24.0,46.0,19.0,19.0,10.0,24.0,24.0,74.0,81.0,48.0,48.0,69.0,72.0,56.0,57.0,24.0,24.0,54.0,66.0,54.0,66.0,24.0,53.0,37.0,47.0,24.0,23.0
5201722,10.0,17.0,21.0,21.0,46.0,9.0,20.0,17.0,20.0,24.0,69.0,87.0,43.0,42.0,70.0,63.0,82.0,72.0,20.0,24.0,59.0,70.0,59.0,70.0,22.0,54.0,62.0,55.0,21.0,24.0
5201723,8.0,11.0,22.0,22.0,41.0,13.0,12.0,11.0,22.0,20.0,64.0,62.0,44.0,44.0,63.0,56.0,63.0,43.0,22.0,20.0,56.0,51.0,56.0,51.0,22.0,43.0,51.0,32.0,22.0,22.0
5201724,12.0,14.0,22.0,20.0,42.0,18.0,17.0,13.0,23.0,21.0,53.0,60.0,44.0,40.0,64.0,69.0,64.0,69.0,23.0,21.0,41.0,46.0,41.0,46.0,22.0,51.0,47.0,56.0,20.0,22.0
5201725,19.0,14.0,22.0,21.0,38.0,18.0,19.0,13.0,23.0,24.0,63.0,83.0,44.0,42.0,58.0,65.0,78.0,67.0,23.0,24.0,44.0,69.0,44.0,69.0,22.0,47.0,59.0,54.0,21.0,20.0
5201726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5201727,8.0,10.0,20.0,20.0,41.0,11.0,11.0,6.0,18.0,20.0,40.0,28.0,41.0,40.0,61.0,26.0,58.0,48.0,18.0,20.0,32.0,18.0,32.0,18.0,21.0,15.0,47.0,42.0,20.0,20.0
5201728,17.0,16.0,22.0,22.0,42.0,18.0,19.0,11.0,23.0,24.0,73.0,78.0,44.0,44.0,63.0,78.0,85.0,68.0,23.0,24.0,56.0,62.0,56.0,62.0,22.0,60.0,66.0,57.0,22.0,21.0
5201729,9.0,10.0,21.0,21.0,42.0,16.0,16.0,11.0,21.0,21.0,66.0,70.0,43.0,42.0,64.0,62.0,69.0,61.0,21.0,21.0,57.0,60.0,57.0,60.0,22.0,46.0,53.0,50.0,21.0,22.0
5201730,12.0,14.0,21.0,20.0,39.0,15.0,14.0,10.0,20.0,20.0,50.0,63.0,43.0,40.0,59.0,64.0,61.0,58.0,20.0,20.0,38.0,49.0,38.0,49.0,22.0,49.0,47.0,48.0,20.0,20.0
5201731,16.0,15.0,22.0,23.0,46.0,18.0,16.0,9.0,23.0,21.0,61.0,64.0,44.0,46.0,67.0,55.0,64.0,56.0,23.0,21.0,45.0,49.0,45.0,49.0,22.0,37.0,48.0,47.0,23.0,21.0
5201732,15.0,12.0,22.0,18.0,46.0,13.0,12.0,9.0,18.0,20.0,54.0,59.0,44.0,36.0,70.0,49.0,44.0,45.0,18.0,20.0,39.0,47.0,39.0,47.0,22.0,36.0,32.0,36.0,18.0,24.0
5201733,16.0,15.0,20.0,21.0,40.0,16.0,16.0,15.0,21.0,21.0,62.0,64.0,42.0,42.0,62.0,65.0,71.0,62.0,21.0,21.0,46.0,49.0,46.0,49.0,22.0,49.0,55.0,47.0,21.0,22.0
